order_id,customer_id,order_date,product,quantity,unit_price,discount_pct,revenue,unit_cost
1,1,2026-06-28,Red Light Face Mask,1,249.0,0.0,249.0,75.0
2,2,2026-01-10,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
3,2,2026-03-05,Scalp Serum,2,59.0,0.0,118.0,14.0
4,3,2026-04-11,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
5,3,2026-05-06,Scalp Serum,1,59.0,0.0,59.0,14.0
6,4,2026-07-03,Scalp Serum,1,59.0,0.15,50.15,14.0
7,5,2026-03-28,Hair Growth System (Device),1,495.0,0.1,445.5,140.0
8,6,2026-05-01,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
9,7,2026-05-19,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
10,8,2026-06-24,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
11,9,2026-06-14,Scalp Serum,1,59.0,0.1,53.1,14.0
12,10,2026-05-29,Replacement Cap Pads,1,39.0,0.0,39.0,9.0
13,11,2026-06-18,Red Light Face Mask,1,249.0,0.0,249.0,75.0
14,12,2026-07-20,Hair Growth System (Device),1,495.0,0.1,445.5,140.0
15,13,2026-06-05,Red Light Face Mask,1,249.0,0.0,249.0,75.0
16,14,2026-07-29,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
17,15,2026-06-25,Red Light Face Mask,1,249.0,0.0,249.0,75.0
18,16,2026-07-30,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
19,17,2026-05-11,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
20,18,2026-06-26,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
21,19,2026-05-13,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
22,20,2026-07-06,Hair Growth System (Device),1,495.0,0.15,420.75,140.0
23,21,2026-07-02,Replacement Cap Pads,1,39.0,0.2,31.2,9.0
24,22,2026-07-05,Red Light Face Mask,1,249.0,0.1,224.1,75.0
25,23,2026-04-09,Scalp Serum,1,59.0,0.1,53.1,14.0
26,24,2026-07-03,Scalp Serum,1,59.0,0.0,59.0,14.0
27,25,2026-03-20,Hair Growth System (Device),1,495.0,0.0,495.0,140.0
28,25,2026-04-15,Scalp Serum,1,59.0,0.0,59.0,14.0
29,26,2026-02-11,Red Light Face Mask,1,249.0,0.0,249.0,75.0
30,26,2026-03-01,Replacement Cap Pads,1,39.0,0.0,39.0,9.0
31,26,2026-05-04,Scalp Serum,1,59.0,0.1,53.1,14.0
32,26,2026-07-21,Scalp Serum,1,59.0,0.0,59.0,14.0
